,Duration,Run ID,Name,Status,LOC_f1,LOC_number,LOC_precision,LOC_recall,ORG_f1,ORG_number,ORG_precision,ORG_recall,PER_f1,PER_number,PER_precision,PER_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,proj_ratio,slurm_job,pipeline_type,dataset,lang,task,eval_type,aligner,candidate_matching,candidate_selection
35,28.1s,e20c561bb6a04385acd244624809b62d,exultant-hen-340,FINISHED,0.5692995529061103,337,0.5718562874251497,0.5667655786350149,0.5956112852664577,373,0.7169811320754716,0.5093833780160858,0.6988082340195015,888,0.673277661795407,0.7263513513513513,0.9470980602622096,0.6503961965134707,0.6589595375722543,0.6420525657071339,0.9823617051611064,448191,align_src,masakhaner2,zul,pipeline_eval,compare_to_original,awesome,,
36,56.0s,37798424372e4f12bfa03fc669b119e8,handsome-lamb-446,FINISHED,0.4583866837387964,536,0.7306122448979592,0.333955223880597,0.5356521739130435,362,0.7230046948356808,0.425414364640884,0.7054361567635903,456,0.8328358208955224,0.6118421052631579,0.9691819445537284,0.5700978108989287,0.7717528373266078,0.4519940915805022,0.739471726190476,448188,backtrans_candidates,masakhaner2,wol,pipeline_eval,compare_to_original,simalign,argmax,ner
37,51.0s,9ebd45df0d574bbea8bf6d786a13d0fe,masked-hawk-24,FINISHED,0.5481798715203426,1924,0.8747152619589977,0.3991683991683992,0.3933747412008281,628,0.5621301775147929,0.3025477707006369,0.8595825426944973,1180,0.976293103448276,0.7677966101694915,0.942398249281932,0.6344452008168823,0.8694029850746269,0.4994640943193998,0.6748749730826208,448185,backtrans_candidates,masakhaner2,swa,pipeline_eval,compare_to_original,awesome,argmax,ner
38,1.1min,67eb496180e545b9b5bff4607396c237,honorable-jay-661,FINISHED,0.5190839694656488,566,0.6780626780626781,0.4204946996466431,0.1684210526315789,95,0.1122807017543859,0.3368421052631579,0.6119733924611973,459,0.6230248306997742,0.6013071895424836,0.9591556332750436,0.4965893587994543,0.5060240963855421,0.4875,0.8854978071814806,448174,align_src,masakhaner2,bam,pipeline_eval,compare_to_original,awesome,,
39,35.7s,212feda999ee4efd94caf78339db9f2b,charming-roo-716,FINISHED,0.5514333895446881,773,0.7917675544794189,0.4230271668822768,0.5979142526071842,540,0.7987616099071208,0.4777777777777778,0.7282992237120678,840,0.8942807625649913,0.6142857142857143,0.9550762281197064,0.6353144835545298,0.8385376999238385,0.5113794705062703,0.7012624568255504,448181,align_tgt,masakhaner2,luo,pipeline_eval,compare_to_original,awesome,,
40,38.5s,471a1bf0d7f54f1c8792db2c42e77044,sassy-midge-636,FINISHED,0.5149051490514904,337,0.4738154613466334,0.5637982195845698,0.5893129770992366,373,0.6843971631205674,0.517426273458445,0.6516027325275882,888,0.6108374384236454,0.6981981981981982,0.9412328452043242,0.6086165048543689,0.5906949352179034,0.6276595744680851,1.0145794126033647,448191,align_src,masakhaner2,zul,pipeline_eval,compare_to_original,simalign,,
41,35.4s,a88fa490e61646e6a2ded96d3c1be1b7,debonair-bee-263,FINISHED,0.575657894736842,773,0.7900677200902935,0.4527813712807244,0.6038592508513052,540,0.7800586510263929,0.4925925925925926,0.7364016736401673,840,0.8888888888888888,0.6285714285714286,0.9565443252399776,0.6479750778816199,0.8301886792452831,0.5313516024152346,0.7203208445406546,448181,align_tgt,masakhaner2,luo,pipeline_eval,compare_to_original,simalign,,
42,55.2s,c8c2e9315ce245ea9f59cf643fd48fbf,loud-pug-970,FINISHED,0.5300950369588173,566,0.6587926509186351,0.4434628975265017,0.1614583333333333,95,0.1072664359861591,0.3263157894736842,0.5947136563876652,459,0.6013363028953229,0.5882352941176471,0.9604671496377716,0.4930772666368915,0.4932975871313673,0.4928571428571429,0.8961183374448679,448174,align_src,masakhaner2,bam,pipeline_eval,compare_to_original,simalign,,
43,44.9s,403576ce2e944f48ab566a611c0c533b,funny-shoat-960,FINISHED,0.1569620253164557,337,0.5344827586206896,0.0919881305637982,0.1964285714285714,373,0.5866666666666667,0.1179624664879356,0.0903361344537815,888,0.671875,0.0484234234234234,0.9143601932070844,0.1314763231197771,0.5989847715736041,0.0738423028785982,0.5106151981750786,448191,backtrans_candidates,masakhaner2,zul,pipeline_eval,compare_to_original,awesome,argmax,ner
44,28.2s,7f2919f366b74208a4ee1dac9fbfa7ee,bright-ox-437,FINISHED,0.6564885496183206,773,0.8007448789571695,0.55627425614489,0.7445544554455445,540,0.8,0.6962962962962963,0.834403080872914,840,0.9052924791086352,0.7738095238095238,0.9663015245623942,0.7509025270758123,0.8440579710144928,0.6762656758012077,0.8314108051981188,448181,align_src,masakhaner2,luo,pipeline_eval,compare_to_original,awesome,,
