,Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,LOC_f1,LOC_number,LOC_precision,LOC_recall,ORG_f1,ORG_number,ORG_precision,ORG_recall,PER_f1,PER_number,PER_precision,PER_recall,overall_accuracy,overall_f1,overall_precision,overall_recall,proj_ratio,slurm_job,pipeline_type,dataset,lang,task,eval_type,aligner,Unnamed: 0,candidate_matching,candidate_selection
19,,1.8min,cc03026cbb024931bec8da0abd35ee57,wistful-horse-54,,,,FINISHED,0.6223750232298829,4725.0,0.5547457346364089,0.7087830687830687,0.454920059337399,3576.0,0.5539943797671618,0.3859060402684564,0.7650727650727651,3959.0,0.74158368895211,0.790098509724678,0.7486056823273132,0.6284091817963688,0.6164286835085517,0.6408646003262642,1.0536802777777774,450735.0,model_transfer,xtreme,es,pipeline_eval,compare_to_original,,19.0,,
20,,2.0min,473054a1dee146c083e91b476f84657d,smiling-hawk-80,,,,FINISHED,0.6624787052810902,4914.0,0.6947297900848594,0.6330891330891331,0.4461742298774428,4154.0,0.714968152866242,0.3242657679345209,0.7162734422262553,4519.0,0.7901761879337961,0.6550121708342553,0.7832327580515245,0.6261236547794894,0.7338741590819153,0.5459630529182307,0.7199094988344986,450763.0,align_src,xtreme,tr,pipeline_eval,compare_to_original,simalign,20.0,,
21,,1.7min,e88ad0899922490995cc90c263abc709,mercurial-midge-685,,,,FINISHED,0.6530479191567967,4914.0,0.7006295173700163,0.6115181115181115,0.4532710280373831,4154.0,0.7388465723612623,0.3269138180067404,0.7214346298315764,4519.0,0.7972683449384038,0.6587740650586413,0.7817406346146228,0.6260661890139885,0.7443464151708752,0.5402222712887319,0.7077742693417692,450763.0,align_src,xtreme,tr,pipeline_eval,compare_to_original,awesome,21.0,,
22,,2.8min,b74173b8e8934898b217e82d48e54684,nosy-grub-401,,,,FINISHED,0.6812276407456223,5671.0,0.7307614623308423,0.637982719097161,0.4790399473943778,3982.0,0.6934792955735364,0.3658965344048216,0.6619354838709677,4510.0,0.7916666666666666,0.5687361419068736,0.8350534871874377,0.6248210999795544,0.7423241352506802,0.5394337357904398,0.7300689975845407,450743.0,candidates,xtreme,hu,pipeline_eval,compare_to_original,simalign,22.0,argmax,ner
23,,2.3min,a46e6b12e5814efca8c4b339cf578ff9,resilient-squid-529,,,,FINISHED,0.6839388145315488,5629.0,0.7404264127509832,0.6354592289927163,0.4395958412651926,4180.0,0.5666289165722914,0.359090909090909,0.7024096385542169,4745.0,0.819971870604782,0.6143308746048473,0.8293688740138656,0.624721560045332,0.7243316719528772,0.5491960972928405,0.7551502777777773,450739.0,candidates,xtreme,fi,pipeline_eval,compare_to_original,simalign,23.0,argmax,dummy
24,,2.0min,d8a715457c7d4b649ff0054f9958c9d7,tasteful-hare-529,,,,FINISHED,0.6726656990807934,5629.0,0.7386315342116447,0.617516432758927,0.435321233074042,4180.0,0.5470673425054309,0.3614832535885167,0.6997105643994211,4745.0,0.8178742599379758,0.6113804004214963,0.8285441071001673,0.6169971449802496,0.716114389468906,0.5419815858183318,0.760353997113997,450739.0,candidates,xtreme,fi,pipeline_eval,compare_to_original,awesome,24.0,argmax,dummy
25,,2.4min,8887cfda90a947f883210fed81ddd987,dashing-slug-496,,,,FINISHED,0.663359725269484,5671.0,0.722568578553616,0.6131193792981837,0.4782608695652174,3982.0,0.6849250936329588,0.3674033149171271,0.6604627116453405,4510.0,0.7917570498915402,0.5665188470066519,0.8335806515913269,0.6159092776727749,0.7366093366093366,0.5291957918520087,0.7296399645402905,450743.0,candidates,xtreme,hu,pipeline_eval,compare_to_original,awesome,25.0,argmax,ner
26,,3.9min,be413965ea6c404e9dcea329fd41098f,resilient-flea-332,,,,FINISHED,0.6859080383724777,6436.0,0.7332036775106082,0.6443443132380361,0.3420471281296023,3670.0,0.5272417707150965,0.253133514986376,0.6985947806137082,3954.0,0.8066225165562914,0.6160849772382397,0.7970837377041323,0.6132745530247367,0.7196780992527304,0.5342816500711237,0.7500416618047351,450731.0,candidates,xtreme,bg,pipeline_eval,compare_to_original,awesome,26.0,argmax,ner
27,,3.4min,dbadb03160c242ae81f1d1861ca0246e,caring-turtle-123,,,,FINISHED,0.594006361962163,5682.0,0.566411238825032,0.6244280183034143,0.4578103207810321,3669.0,0.6352201257861635,0.3578631779776506,0.7509462528387585,4108.0,0.7794656888423258,0.7244401168451802,0.8535533470841927,0.6120743517650735,0.6450736686147008,0.5822869455383015,0.921227281237283,450737.0,candidates,xtreme,eu,pipeline_eval,compare_to_original,simalign,27.0,argmax,ner
28,,2.7min,56e1364cd1d845488de29d1e8fae341a,charming-ram-538,,,,FINISHED,0.6469203609258534,5629.0,0.7221370702868404,0.5858944750399716,0.4305957641322566,4180.0,0.5929500629458666,0.3380382775119617,0.7129483282674771,4745.0,0.8425287356321839,0.617913593256059,0.8301458283528568,0.611831572206212,0.7327900287631831,0.5251477257111447,0.7096111111111109,450739.0,candidates,xtreme,fi,pipeline_eval,compare_to_original,simalign,28.0,argmax,ner
29,,1.3min,88ecae1f3ab44ca9935dba88cb94c6fd,upbeat-gnu-436,,,,FINISHED,0.6439461883408072,562.0,0.6491862567811935,0.6387900355871886,0.4895104895104895,569.0,0.726643598615917,0.3690685413005272,0.7075208913649025,356.0,0.7016574585635359,0.7134831460674157,0.8563101406365655,0.6116685247120031,0.6835548172757475,0.5534633490248824,0.8600515151515152,450729.0,align_src,xtreme,af,pipeline_eval,compare_to_original,simalign,29.0,,
30,,1.3min,f149b12caf0e4ce7b54cf3bf872af6b4,industrious-jay-276,,,,FINISHED,0.6391941391941393,562.0,0.6584905660377358,0.6209964412811388,0.4876905041031653,569.0,0.7323943661971831,0.3655536028119508,0.7152875175315568,356.0,0.7142857142857143,0.7162921348314607,0.8551073279052553,0.6109857035364936,0.6934244235695987,0.5460659045057162,0.8485419191919192,450729.0,align_src,xtreme,af,pipeline_eval,compare_to_original,awesome,30.0,,
31,,4.8min,0cb50bc42db54bb4add939ab29ee8eb8,victorious-toad-64,,,,FINISHED,0.7037966215086136,6436.0,0.7620427381383557,0.653822249844624,0.3087950406819062,3670.0,0.5341823056300268,0.2171662125340599,0.6716152019002375,3954.0,0.8130841121495327,0.5720789074355084,0.7876184656674214,0.6092387659289067,0.7418334013883218,0.5168563300142247,0.677167710051387,450731.0,backtrans_candidates,xtreme,bg,pipeline_eval,compare_to_original,simalign,31.0,argmax,ner
32,,2.5min,672eca401a8344839870f242092eaa1a,caring-bass-368,,,,FINISHED,0.6336958398066632,5888.0,0.6442611442611442,0.6234714673913043,0.4690799396681749,3875.0,0.5644283121597096,0.4012903225806452,0.6974813174647108,4129.0,0.8136906683887634,0.610317268103657,0.830552276821768,0.6089143935225219,0.6706493506493506,0.5575871004894903,0.8434017408812151,450736.0,candidates,xtreme,et,pipeline_eval,compare_to_original,simalign,32.0,argmax,dummy
33,,2.5min,c177971e000940539289204635480ebb,mysterious-ape-586,,,,FINISHED,0.5999334885267709,5682.0,0.5685471162937283,0.6349876803942274,0.4210217263652378,3669.0,0.4562519885459752,0.3908421913327882,0.7653513892131683,4108.0,0.7353073126962764,0.7979552093476144,0.8605574613119202,0.6071663139458513,0.5965440596544059,0.6181737127572628,1.0901804029303994,450737.0,model_transfer,xtreme,eu,pipeline_eval,compare_to_original,,33.0,,
34,,3.0min,d3b960fb4cd64efbb8155b172cb7421e,aged-goose-971,,,,FINISHED,0.582481628515922,5682.0,0.5600129933409128,0.6068285814853924,0.4576123055409893,3669.0,0.6379142300194932,0.3567729626601253,0.7507575757575757,4108.0,0.7799055613850997,0.7237098344693281,0.8521084038340632,0.6067503924646782,0.643041344314117,0.5743368749535627,0.9168040404965418,450737.0,candidates,xtreme,eu,pipeline_eval,compare_to_original,awesome,34.0,argmax,ner
35,,2.3min,4df74afa842d4bf0af72b88d8ce2c63d,rebellious-whale-700,,,,FINISHED,0.6356696738376127,5629.0,0.7191565724540152,0.569550541836916,0.4262984088862203,4180.0,0.572119258662369,0.3397129186602871,0.7123554473524041,4745.0,0.8432276657060519,0.6166491043203371,0.829070045421946,0.6050312449927896,0.7254562920268972,0.5188951490999038,0.7136114971139973,450739.0,candidates,xtreme,fi,pipeline_eval,compare_to_original,awesome,35.0,argmax,ner
36,,1.4min,6d5c5a752570450584d5d01bc2fee617,debonair-shrimp-241,,,,FINISHED,0.5606694560669456,414.0,0.4944649446494465,0.6473429951690821,0.3894736842105263,364.0,0.5388349514563107,0.3049450549450549,0.7831715210355987,450.0,0.7610062893081762,0.8066666666666666,0.73255620316403,0.6049735018344884,0.6057142857142858,0.6042345276872965,1.0032166666666666,450742.0,model_transfer,xtreme,hi,pipeline_eval,compare_to_original,,36.0,,
37,,2.4min,72ad666187214a67b130856fbf14030e,dashing-kite-695,,,,FINISHED,0.6147954743255004,5888.0,0.6304891110317744,0.5998641304347826,0.4693877551020408,3875.0,0.560774471136608,0.4036129032258064,0.6980033277870217,4129.0,0.8164125851443399,0.6095906999273432,0.8288873703174504,0.6002523062366948,0.6635000871535646,0.5480132450331126,0.8433232012376755,450736.0,candidates,xtreme,et,pipeline_eval,compare_to_original,awesome,37.0,argmax,dummy
38,,2.9min,2391f916ef63447d9b81b287a759c0e6,selective-mule-572,,,,FINISHED,0.6852661064425769,4476.0,0.6873454708923353,0.6831992850759607,0.456195462478185,3655.0,0.6298795180722891,0.3575923392612859,0.6062299203799414,4033.0,0.6941778630838131,0.5380609967765931,0.8377671894646285,0.5991565049967911,0.6772020725388601,0.5372410391318645,0.7992085527544354,450734.0,candidates,xtreme,el,pipeline_eval,compare_to_original,simalign,38.0,argmax,ner
39,,3.0min,2fe55baee047448daff8f3ae227c05cb,auspicious-smelt-307,,,,FINISHED,0.6456643792888335,4961.0,0.666738243504402,0.6258818786534973,0.461377245508982,4157.0,0.6107808164883076,0.3707000240558095,0.6559220389805097,4750.0,0.806699446834665,0.5526315789473685,0.8460049566802531,0.5983869640358819,0.6968564308989841,0.5243005480242284,0.746079000721501,450733.0,candidates,xtreme,de,pipeline_eval,compare_to_original,simalign,39.0,argmax,ner
40,,2.0min,6a6d926a907c486bbebf1f7660e07ef2,traveling-hawk-614,,,,FINISHED,0.627027027027027,5288.0,0.5987611837577426,0.6580937972768532,0.3098384728340675,3807.0,0.514320536258379,0.2216968741791437,0.7497869231705832,3962.0,0.7243001646671371,0.7771327612317012,0.8213056321867142,0.5979564637938695,0.6325187969924813,0.5669755686604886,0.8949536172161175,450748.0,model_transfer,xtreme,ka,pipeline_eval,compare_to_original,,40.0,,
41,,9.2min,3ef0fa7a75284dc9b7a79fa76d7ea948,gregarious-shrew-195,,,,FINISHED,0.6784894307655768,6436.0,0.6916868442292171,0.665786202610317,0.3361254678310462,3670.0,0.4858320453374549,0.2569482288828338,0.6537810383747178,3954.0,0.7393107849393746,0.5859888720283257,0.7950349256556798,0.5957362810896171,0.6694764862466726,0.536628733997155,0.7959015153669157,450731.0,candidates,xtreme,bg,pipeline_eval,compare_to_original,simalign,41.0,argmax,dummy
42,,2.5min,c87783b9f1654cd1987b4fe2bf29aaa6,indecisive-calf-143,,,,FINISHED,0.6410416666666667,4961.0,0.6632895020478552,0.6202378552711147,0.4593386952636282,4157.0,0.6030504497457958,0.3709405821505894,0.6556762832521544,4750.0,0.8059564015965612,0.5526315789473685,0.8455338672347049,0.5956991900004112,0.6930067923084282,0.5223536198442458,0.7492531998556999,450733.0,candidates,xtreme,de,pipeline_eval,compare_to_original,awesome,42.0,argmax,ner
43,,2.9min,97694e62435d49858f1de4bc246e4b83,adaptable-vole-803,,,,FINISHED,0.6084175778832267,5133.0,0.6465687349265512,0.5745178258328463,0.4961411245865489,3908.0,0.6452273658336747,0.4030194472876151,0.6519124984009211,4684.0,0.8132780082987552,0.5439795046968403,0.8019430934423534,0.59279128248114,0.6977799703996054,0.515264116575592,0.7617978943278942,450755.0,candidates,xtreme,nl,pipeline_eval,compare_to_original,simalign,43.0,argmax,ner
44,,5.3min,6cade2debdd1455499045f164b5f376f,abundant-whale-659,,,,FINISHED,0.6641095890410958,5671.0,0.6887668118961925,0.6411567624757538,0.4146923199236762,3982.0,0.5652362375379281,0.3274736313410346,0.6346422671241582,4510.0,0.7433760047633224,0.5536585365853659,0.8252419658479325,0.5924008284212203,0.6794883508451348,0.5251006142766363,0.785477029781812,450743.0,candidates,xtreme,hu,pipeline_eval,compare_to_original,simalign,44.0,argmax,dummy
45,,1.9min,917dbb737b1c4971a72be63bc580f686,bright-whale-886,,,,FINISHED,0.5390308891739861,4985.0,0.5304972804972805,0.5478435305917754,0.4067309075219329,3885.0,0.4608865710560625,0.3639639639639639,0.7921508441131331,4499.0,0.781527146874324,0.8030673482996221,0.743011315705268,0.592032967032967,0.604252667653244,0.5802977036427557,0.970461614774115,450740.0,model_transfer,xtreme,fr,pipeline_eval,compare_to_original,,45.0,,
46,,2.0min,5331be0ffe4946b887de01d71990c1d3,big-ray-885,,,,FINISHED,0.6204906204906204,5629.0,0.7390130125214829,0.5347308580564931,0.4048843187660668,4180.0,0.6164383561643836,0.3014354066985646,0.6957470010905125,4745.0,0.8184150513112884,0.6050579557428872,0.8155510399234999,0.5906778609537201,0.7419220779220779,0.4906554898996839,0.6488083694083691,450739.0,align_src,xtreme,fi,pipeline_eval,compare_to_original,simalign,46.0,,
47,,2.5min,ab75e97a06c746849554dcd516f2ddff,selective-sloth-434,,,,FINISHED,0.6730660643704122,4476.0,0.6805206668189084,0.6657730116175157,0.4496817478066403,3655.0,0.6056533827618165,0.3575923392612859,0.6010653209980376,4033.0,0.691389874234118,0.5316141829903298,0.8360245295921294,0.5899458765250893,0.6672546171404856,0.5286912199934232,0.8039638211951451,450734.0,candidates,xtreme,el,pipeline_eval,compare_to_original,awesome,47.0,argmax,ner
48,,2.5min,87513bdcbe8b40209bbccd52338d4a16,monumental-snail-284,,,,FINISHED,0.6035821513614246,5133.0,0.6440565620857269,0.5678940190921489,0.4942457231726282,3908.0,0.6300555114988104,0.4066018423746161,0.6516508830304582,4684.0,0.8134185303514377,0.5435525192143467,0.801813867155377,0.5898841149646488,0.6926704657103556,0.5136612021857924,0.7674706228493727,450755.0,candidates,xtreme,nl,pipeline_eval,compare_to_original,awesome,48.0,argmax,ner
49,,1.4min,308e91525dac4bc2834f8e82faf20ca2,shivering-skunk-767,,,,FINISHED,0.6720867208672087,562.0,0.6825688073394496,0.6619217081850534,0.3974193548387097,569.0,0.7475728155339806,0.2706502636203866,0.6759689922480621,356.0,0.754325259515571,0.6123595505617978,0.8439119170984456,0.5888405223585279,0.7153846153846154,0.5003362474781439,0.7635252525252524,450729.0,backtrans_candidates,xtreme,af,pipeline_eval,compare_to_original,simalign,49.0,argmax,ner
50,,1.8min,1b669ad4572d4fa7aec337a90fe53e97,nosy-bat-432,,,,FINISHED,0.6114423177491893,5629.0,0.7433875890132248,0.519275182092734,0.4029118531413198,4180.0,0.595137914913511,0.3045454545454545,0.697922992833718,4745.0,0.8236811926605505,0.6054794520547945,0.8140210375328711,0.5863227304773359,0.7395125013076682,0.4857083963171636,0.650165782828283,450739.0,align_src,xtreme,fi,pipeline_eval,compare_to_original,awesome,50.0,,
51,,2.7min,54ae076a7dc6485eaa0265580a44430a,suave-kit-319,,,,FINISHED,0.5412311265969801,5888.0,0.5709707822808671,0.5144361413043478,0.5138602882939965,3875.0,0.6652994257588187,0.4185806451612903,0.7209627763783935,4129.0,0.8538283062645011,0.6238798740615161,0.8316207989066285,0.5863215966250203,0.6716542750929368,0.5202274690469335,0.7822572628592375,450736.0,candidates,xtreme,et,pipeline_eval,compare_to_original,simalign,51.0,argmax,ner
52,,1.4min,dba75c2e98624dfaa4b5659dfd7e441e,popular-lark-909,,,,FINISHED,0.6672794117647058,562.0,0.6901140684410646,0.6459074733096085,0.3963730569948186,569.0,0.7536945812807881,0.2688927943760984,0.6749611197511665,356.0,0.7560975609756098,0.6095505617977528,0.8430792005921539,0.5856971634039153,0.7214566929133859,0.4929388029589778,0.7503474747474747,450729.0,backtrans_candidates,xtreme,af,pipeline_eval,compare_to_original,awesome,52.0,argmax,ner
53,,10.3min,53ce2ed3534c4f9c81a2e9fe684f9f1b,rebellious-trout-666,,,,FINISHED,0.5711976725391952,5682.0,0.5280932456664674,0.6219640971488912,0.4436848401982567,3669.0,0.5948670944087993,0.353774870536931,0.707809805370781,4108.0,0.7164588528678304,0.6993670886075949,0.8523179757558377,0.5849751357096762,0.5980285625582117,0.5724793818262872,0.9828291402116408,450737.0,candidates,xtreme,eu,pipeline_eval,compare_to_original,simalign,53.0,argmax,dummy
54,,1.9min,8281a5093fd3443ab63bc3bb9473398c,welcoming-sloth-521,,,,FINISHED,0.5753985167504903,5682.0,0.5579434617292114,0.5939809926082366,0.4247220651969097,3669.0,0.688034188034188,0.3071681657127282,0.7035364936042137,4108.0,0.7255561303673047,0.6828140214216164,0.840791520058239,0.5842795458180073,0.6324764130528867,0.5429080912400625,0.8750851322751342,450737.0,align_src,xtreme,eu,pipeline_eval,compare_to_original,awesome,54.0,,
55,,10.2min,dec7c45efe454db798a90af253e497fa,mysterious-wren-770,,,,FINISHED,0.5671568224759713,5682.0,0.5318132799260514,0.6075325589581133,0.4442920809050394,3669.0,0.5986143187066975,0.3532297628781684,0.7040375354982097,4108.0,0.7143573039338512,0.6940116845180136,0.8516230793836379,0.5821650195357388,0.6008539574602673,0.5646036109666395,0.9697558994708992,450737.0,candidates,xtreme,eu,pipeline_eval,compare_to_original,awesome,55.0,argmax,dummy
